OPEX_CO2_kg,CAPEX_CO2_kg,Total_Cost_EUR,Wind_kW,Solar_kWp,Battery_kWh
2.925816425143138040e+05,1.433898462629428541e+05,1.872463772078758571e+06,4.983891038735199800e+03,2.997713598946287675e+03,5.048270300905318777e+02
2.949213154816637980e+05,1.389294521796326153e+05,1.865526589670385001e+06,4.829969360634714576e+03,2.902026573115624160e+03,5.000802108274371562e+02
2.964353317461478873e+05,1.359911356032306212e+05,1.888858216295578051e+06,4.909783590238110264e+03,2.648477754616321818e+03,1.146021883286138291e+03
2.982555183741479414e+05,1.282935464395968011e+05,1.869076216674792347e+06,4.829969360634714576e+03,2.550108879755901398e+03,5.000802108274371562e+02
3.022865038202385767e+05,1.313062867594652053e+05,1.862876507546381559e+06,4.337321289533356321e+03,2.693902913993423681e+03,1.090258036346944664e+03
3.069753961224660743e+05,1.236642535620187991e+05,1.837737098661968717e+06,3.995556592260726120e+03,2.651599928658361478e+03,6.010956103172087523e+02
3.076130970271015540e+05,1.245722142454431305e+05,1.829518972198663745e+06,3.876221464293546433e+03,2.741769941556901813e+03,5.023920462052903986e+02
3.088619610468175379e+05,1.180755613476653816e+05,1.860824035687162308e+06,4.125855101876027220e+03,2.335894451975861557e+03,1.070350166100291290e+03
3.090074450435354374e+05,1.180072880057566654e+05,1.841043742179254303e+06,3.995556592260726120e+03,2.465767388843507888e+03,6.010956103172087523e+02
3.184798700008908636e+05,9.429262901582005725e+04,1.900629261372671695e+06,4.403476113683127551e+03,1.549021104481785187e+03,7.574469489070453392e+02
3.245808325813217089e+05,8.552581751033011824e+04,1.966449060118451715e+06,4.882391167691514056e+03,1.140050159309259925e+03,5.000802108274371562e+02
3.295489162852211739e+05,8.277698448308641673e+04,1.913375858956912067e+06,4.050380641263678172e+03,1.318390747096117593e+03,5.442911315132229220e+02
3.333868135242428980e+05,1.144424838745882007e+05,1.794710324231639737e+06,2.257760774771923025e+03,2.941679567084578593e+03,5.021826245732014513e+02
3.342193094138299348e+05,1.097593459387019102e+05,1.797251815144997323e+06,2.299093794765808070e+03,2.772630398974168202e+03,5.020513681320135220e+02
3.367084191106645740e+05,1.049399046300276532e+05,1.800424383473793045e+06,2.265039065860919436e+03,2.624779132320501958e+03,5.019630713656470675e+02
3.384649032964488724e+05,7.439520342021074612e+04,1.999946953935658559e+06,4.512099078249334525e+03,8.924692964550728220e+02,5.000267488130418769e+02
3.434131600230772747e+05,7.062182258818394621e+04,2.052615478057368426e+06,4.809059331861057217e+03,6.676856885274069100e+02,5.001317227502334504e+02
3.440802712007981609e+05,1.017115591718275246e+05,1.802953502734993584e+06,1.974256389862875039e+03,2.614025087966133924e+03,5.021695323403639577e+02
