OPEX_CO2_kg,CAPEX_CO2_kg,Total_Cost_EUR,Wind_kW,Solar_kWp,Battery_kWh
7.649042729736352339e+05,1.456819248773493164e+05,1.623257558932508575e+06,4.993430292747084422e+03,2.990904355678391767e+03,8.735294241953076835e+02
7.669240494704345474e+05,1.408902087596835336e+05,1.611637232747856993e+06,4.991713204073443194e+03,2.911911958103415145e+03,5.010727222152959257e+02
7.936593785721655004e+05,1.345648988835365744e+05,1.589978832885159412e+06,4.294244735204635617e+03,2.932810844835551961e+03,5.042995834094928114e+02
7.980288290838148678e+05,1.297620250641175517e+05,1.588930770033805398e+06,4.294244735204635617e+03,2.774369348261956475e+03,5.009655871643747673e+02
8.115208499449540395e+05,1.198018970123930485e+05,1.611990246695776004e+06,4.357261511318431985e+03,2.266211865058969124e+03,1.335652032615333155e+03
8.206310831472093705e+05,1.052579489890036639e+05,1.645946222987503745e+06,4.904511224234919609e+03,1.569411506441507527e+03,1.826098310681845760e+03
8.255388882007548818e+05,1.233524638996685826e+05,1.576705237600042950e+06,3.717415403498122487e+03,2.751651245268507864e+03,5.009224519612507720e+02
8.409860317157474346e+05,9.317569620896986453e+04,1.609588807001288282e+06,4.512898890160191513e+03,1.509804509653040896e+03,5.041389627129404971e+02
8.475375940741002560e+05,1.038250522323832556e+05,1.579642461238139076e+06,3.733344598822143325e+03,2.103156103760742553e+03,5.072282897935327810e+02
8.589380785425055074e+05,1.175658782832440775e+05,1.570511781073934166e+06,3.095914183634088204e+03,2.767238442675643910e+03,5.011784270456969352e+02
8.651511354671837762e+05,8.921299758460544399e+04,1.595755021175492555e+06,3.928122722047182833e+03,1.569411506441507527e+03,5.042845055312621980e+02
8.717793069012925262e+05,1.113536374113316997e+05,1.570702172287840862e+06,2.975412890274908023e+03,2.602443240775775394e+03,5.011784270456969352e+02
8.829530556434474420e+05,8.174252750887756702e+04,1.624728257471774938e+06,4.081355014702210610e+03,1.239463131242671579e+03,7.490166849150616599e+02
8.911065797508449759e+05,7.787205115858960198e+04,1.627136811678238213e+06,4.081355014702210610e+03,1.151408373544868937e+03,5.032499610442857261e+02
9.012109901447484735e+05,8.394931084722766536e+04,1.590536241294468287e+06,3.246912287135864062e+03,1.611330975656307601e+03,5.536411837088459151e+02
9.161706513119139709e+05,7.081810417150144349e+04,1.648329400809346233e+06,4.018416996876904705e+03,9.372247486312121509e+02,5.034383487592070310e+02
9.197597269869446754e+05,6.795438660585370963e+04,1.724223520034964429e+06,4.966771761447671452e+03,4.664723856562059154e+02,8.584994843381625742e+02
9.400722800808477914e+05,6.091919365753163584e+04,1.739261765381548088e+06,4.991713204073443194e+03,2.832232668573576575e+02,5.010727222152959257e+02
9.588138945128596388e+05,6.523375584607178462e+04,1.644343991154950345e+06,3.223727766953921218e+03,9.971455444414832527e+02,6.164223686576158343e+02
9.653030135349729098e+05,7.673664565391303040e+04,1.601655894420257071e+06,2.291553664964062136e+03,1.689999447489707563e+03,5.530028265089943034e+02
9.858400444983954076e+05,5.642821040012388403e+04,1.682811017318596132e+06,3.418349533973587313e+03,6.562416093367424992e+02,5.114933560571479347e+02
9.877444441668367945e+05,5.986337117465250049e+04,1.654059084296128247e+06,2.919851058801857107e+03,9.372247486312121509e+02,5.096236255395118064e+02
1.003591330628991709e+06,4.931862182304589078e+04,1.743106184414774412e+06,4.021231067891384100e+03,2.042627675074730291e+02,5.956856237815719624e+02
1.028351864632702316e+06,5.029751284770393977e+04,1.697157101901568240e+06,2.911285960710858035e+03,6.215124356057792738e+02,5.078560344843972416e+02
1.038007707741606748e+06,4.200499253092984873e+04,1.772525409770070342e+06,3.906155324007199397e+03,9.784035844931331383e-01,5.828174366646110229e+02
1.059309472765210550e+06,4.087675617091670574e+04,1.751081871600844897e+06,3.240007696339602262e+03,1.984897750615309917e+02,5.043971911349515835e+02
1.085303678036900237e+06,3.720957315367208503e+04,1.763663090133670485e+06,2.981674780928122800e+03,1.629928550685196456e+02,5.006079384670533159e+02
1.120523024080721429e+06,3.150083452683748328e+04,1.796851631294246996e+06,2.846793269269291159e+03,9.784035844931331383e-01,6.007099453219553880e+02
1.150678868389952695e+06,2.791942343652602722e+04,1.809311178968250286e+06,2.520488453107687747e+03,6.398102567014372966e+00,5.045191656877436230e+02
1.185200744888286572e+06,2.607128263681807584e+04,1.823328539971674792e+06,2.074830678195522523e+03,9.397097911655352220e+01,5.007692962732483011e+02
1.196366389662991045e+06,2.364164456383915604e+04,1.837098026758389547e+06,2.094278472021474499e+03,6.456372858973954187e+00,5.010337315710387429e+02
1.220447113713899394e+06,2.266164715105625146e+04,1.851155272558310069e+06,1.830640778425155759e+03,5.837615775498069581e+01,5.207909268310545485e+02
1.234789470980407903e+06,2.208460856539830638e+04,1.860578522464821115e+06,1.688198873331874211e+03,8.659782655460470835e+01,5.209370070882839627e+02
1.243818722848933423e+06,1.993500532417245631e+04,1.872811773511625128e+06,1.720200083891794975e+03,2.563568640912635033e+00,5.312194852054254852e+02
1.283271796110316645e+06,1.705602404960165950e+04,1.905333003760640975e+06,1.448325315895307995e+03,4.861961601118971465e-01,5.116370011690444244e+02
1.304830453871288337e+06,1.568542536166649552e+04,1.924602609783402411e+06,1.314596646755889424e+03,8.821767974908216736e-01,5.025987180365751215e+02
1.312669380338571966e+06,1.555958387424213470e+04,1.933269690501938807e+06,1.267445532028863454e+03,2.074593275436316553e+00,5.645781511380820348e+02
1.331142456923449878e+06,1.427301966883165005e+04,1.949988245404607849e+06,1.163770212821349787e+03,2.579080675912087894e+00,5.115890240681573573e+02
1.350085579887217144e+06,1.336018387637553860e+04,1.968981946138367988e+06,1.060257993044801879e+03,7.422736559969635550e+00,5.069843698256860307e+02
1.375905238590679830e+06,1.201893438601273738e+04,1.997214261684287339e+06,9.456847943407931325e+02,4.686769849031351409e-01,5.096052266115424345e+02
1.413956278634436429e+06,1.035577368475291951e+04,2.039308249210429378e+06,7.731831706581031085e+02,2.215839929538361730e+00,5.114933560571479347e+02
1.420070469454997452e+06,1.012629834406595910e+04,2.046046734655390028e+06,7.441584197611676927e+02,4.229070164714981317e+00,5.115684083025666382e+02
1.462033985063195694e+06,8.502193245979337007e+03,2.093631394635331351e+06,5.553729252965814567e+02,4.229070164714981317e+00,5.643183776144146577e+02
1.496408128561026417e+06,6.907777374386369047e+03,2.131701801872818265e+06,4.026031433895288956e+02,1.745870658490094485e+00,5.658739641472755011e+02
1.513224892732138280e+06,5.815334693612741830e+03,2.148931511478989851e+06,3.279341488453040938e+02,4.380265952857700373e-01,5.045704814602257215e+02
1.534793143628891325e+06,5.708790537408871387e+03,2.172218666099536233e+06,2.011520143864255488e+02,3.988893958799614836e+01,5.001204411809463863e+02
1.557995346231583972e+06,3.867567195660828475e+03,2.198659840296806768e+06,1.260414732701874527e+02,1.073634304270669304e+00,5.149886867661667793e+02
1.583141966829224490e+06,2.697517663552794147e+03,2.226357500935339835e+06,1.336805098162926697e+01,4.686769849031351409e-01,5.099553688378814513e+02
1.585759585260967724e+06,2.620530918868695608e+03,2.229374758568042889e+06,1.187507417032636070e+00,1.004928293746273571e+00,5.157015991771961581e+02
1.585922150292865233e+06,2.519902593493784934e+03,2.229243906913245562e+06,1.187507417032636070e+00,3.513036172026717807e-02,5.013947216943701619e+02
