Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,417563,-,-,-,48.69,2.14,0,156,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed,Wind Direction,Pressure,Dew Point,Surface Albedo
2020,1,1,0,30,0,0,0,0.5,1.2000000000000002,171,1012,0.5,0.12
2020,1,1,1,30,0,0,0,0.7000000000000001,1.5,174,1012,0.7000000000000001,0.12
2020,1,1,2,30,0,0,0,1,1.8,182,1012,1,0.12
2020,1,1,3,30,0,0,0,1.2000000000000002,1.9000000000000001,191,1012,1.2000000000000002,0.12
2020,1,1,4,30,0,0,0,1.2000000000000002,1.9000000000000001,199,1012,1.2000000000000002,0.12
2020,1,1,5,30,0,0,0,1.3,1.8,201,1012,1.3,0.12
2020,1,1,6,30,0,0,0,1.2000000000000002,1.6,196,1012,1.2000000000000002,0.12
2020,1,1,7,30,0,0,0,1.2000000000000002,1.6,182,1012,1.2000000000000002,0.12
2020,1,1,8,30,34,190,23,1.5,2,167,1012,1.4000000000000001,0.12
2020,1,1,9,30,132,453,54,2,2.5,158,1013,1.7000000000000002,0.12
2020,1,1,10,30,220,581,70,2.6,2.6,156,1012,2.1,0.12
2020,1,1,11,30,16,0,16,3.5,2.7,163,1012,2.8000000000000003,0.12
2020,1,1,12,30,279,643,78,4.2,2.7,168,1011,3.5,0.12
2020,1,1,13,30,9,0,9,4.6000000000000005,2.5,169,1011,4,0.12
2020,1,1,14,30,9,0,9,4.4,2.1,168,1010,4.3,0.12
2020,1,1,15,30,17,0,17,3.7,1.6,169,1010,3.7,0.12
2020,1,1,16,30,0,0,0,3.4000000000000004,1.8,170,1010,3.4000000000000004,0.12
2020,1,1,17,30,0,0,0,3.5,1.9000000000000001,172,1010,3.5,0.12
2020,1,1,18,30,0,0,0,3.4000000000000004,1.8,173,1010,3.4000000000000004,0.12
2020,1,1,19,30,0,0,0,3.4000000000000004,1.7000000000000002,174,1010,3.4000000000000004,0.12
2020,1,1,20,30,0,0,0,3.3000000000000003,1.6,177,1010,3.3000000000000003,0.12
2020,1,1,21,30,0,0,0,3.2,1.5,182,1010,3.2,0.12
2020,1,1,22,30,0,0,0,3.1,1.4000000000000001,188,1009,3.1,0.12
2020,1,1,23,30,0,0,0,3.1,1.4000000000000001,199,1009,3.1,0.12
2020,1,2,0,30,0,0,0,3.1,1.3,213,1008,3.1,0.12
2020,1,2,1,30,0,0,0,3.2,1.2000000000000002,225,1008,3.2,0.12
2020,1,2,2,30,0,0,0,3.3000000000000003,1.2000000000000002,236,1008,3.3000000000000003,0.12
2020,1,2,3,30,0,0,0,3.4000000000000004,1.1,242,1008,3.4000000000000004,0.12
2020,1,2,4,30,0,0,0,3.4000000000000004,1.1,241,1007,3.4000000000000004,0.12
2020,1,2,5,30,0,0,0,3.6,1.1,234,1007,3.6,0.12
2020,1,2,6,30,0,0,0,3.7,1.3,225,1008,3.7,0.12
2020,1,2,7,30,0,0,0,3.9000000000000004,1.6,217,1008,3.9000000000000004,0.12
2020,1,2,8,30,10,0,10,4.1000000000000005,2.2,213,1008,4.1000000000000005,0.12
2020,1,2,9,30,14,0,14,4.3,2.6,211,1008,4.2,0.12
2020,1,2,10,30,10,0,10,4.5,2.9000000000000004,211,1008,4.4,0.12
2020,1,2,11,30,16,0,16,4.9,3.1,210,1007,4.6000000000000005,0.12
2020,1,2,12,30,37,0,37,5.300000000000001,3.2,208,1006,5,0.12
2020,1,2,13,30,36,0,36,5.800000000000001,3.3000000000000003,206,1006,5.5,0.12
2020,1,2,14,30,6,0,6,6.1000000000000005,3.2,204,1005,6,0.12
2020,1,2,15,30,6,0,6,6.1000000000000005,3.1,200,1005,6.1000000000000005,0.12
2020,1,2,16,30,0,0,0,6.300000000000001,3.5,201,1005,6.300000000000001,0.12
2020,1,2,17,30,0,0,0,6.5,3.9000000000000004,203,1005,6.5,0.12
2020,1,2,18,30,0,0,0,6.5,4.2,205,1005,6.5,0.12
2020,1,2,19,30,0,0,0,6.4,4.3,208,1005,6.4,0.12
2020,1,2,20,30,0,0,0,6.2,4.2,210,1005,6.2,0.12
2020,1,2,21,30,0,0,0,6.1000000000000005,4.3,211,1005,6.1000000000000005,0.12
2020,1,2,22,30,0,0,0,6,4.2,210,1005,5.9,0.12
2020,1,2,23,30,0,0,0,5.9,4.2,211,1004,5.7,0.12
2020,1,3,0,30,0,0,0,5.6000000000000005,4.2,210,1004,5.5,0.12
2020,1,3,1,30,0,0,0,5.2,4.3,205,1004,5.2,0.12
2020,1,3,2,30,0,0,0,5,4.5,204,1003,5,0.12
2020,1,3,3,30,0,0,0,5,4.7,206,1003,5,0.12
2020,1,3,4,30,0,0,0,5.2,4.800000000000001,212,1003,5.2,0.12
2020,1,3,5,30,0,0,0,5.6000000000000005,5,217,1003,5.5,0.12
2020,1,3,6,30,0,0,0,6.2,5.4,223,1003,6,0.12
2020,1,3,7,30,0,0,0,6.9,5.4,228,1003,6.6000000000000005,0.12
2020,1,3,8,30,20,0,20,7.7,5.2,236,1003,7.300000000000001,0.12
2020,1,3,9,30,22,0,22,8.8,5.1000000000000005,240,1004,8.1,0.12
2020,1,3,10,30,232,673,57,9.9,5.4,245,1004,8.700000000000001,0.12
2020,1,3,11,30,35,0,35,10.600000000000001,5.9,249,1004,8.3,0.12
2020,1,3,12,30,11,0,11,10.700000000000001,6,251,1004,7.9,0.12
2020,1,3,13,30,70,0,70,10.200000000000001,5.5,252,1004,7.9,0.12
2020,1,3,14,30,7,0,7,9.5,4.7,254,1005,8,0.12
2020,1,3,15,30,8,0,8,8.9,4.2,259,1006,8.1,0.12
2020,1,3,16,30,0,0,0,8.6,4,271,1006,8.200000000000001,0.12
2020,1,3,17,30,0,0,0,8.4,3.9000000000000004,294,1008,8.1,0.12
2020,1,3,18,30,0,0,0,7.6000000000000005,3.8000000000000003,325,1009,7.5,0.12
2020,1,3,19,30,0,0,0,6,3.6,342,1010,6,0.12
2020,1,3,20,30,0,0,0,4.2,3,343,1011,4.2,0.12
2020,1,3,21,30,0,0,0,2.9000000000000004,2.6,340,1012,2.9000000000000004,0.12
2020,1,3,22,30,0,0,0,2.1,2.4000000000000004,338,1013,2.1,0.12
2020,1,3,23,30,0,0,0,1.6,2.3000000000000003,340,1013,1.6,0.12
2020,1,4,0,30,0,0,0,1.1,2,341,1013,1.1,0.12
2020,1,4,1,30,0,0,0,0.6000000000000001,1.5,340,1014,0.6000000000000001,0.12
2020,1,4,2,30,0,0,0,0.30000000000000004,1.4000000000000001,338,1014,0.30000000000000004,0.12
2020,1,4,3,30,0,0,0,0.30000000000000004,1.4000000000000001,333,1015,0.30000000000000004,0.12
2020,1,4,4,30,0,0,0,0.5,1.3,326,1015,0.5,0.12
2020,1,4,5,30,0,0,0,0.1,1.3,318,1015,0.1,0.12
2020,1,4,6,30,0,0,0,0,1.4000000000000001,311,1016,0,0.12
2020,1,4,7,30,0,0,0,0.4,1.5,308,1016,0.4,0.12
2020,1,4,8,30,8,0,8,2.1,2,301,1017,2,0.12
2020,1,4,9,30,30,0,30,4.1000000000000005,2.8000000000000003,291,1017,2.9000000000000004,0.12
2020,1,4,10,30,231,640,64,5.800000000000001,2.9000000000000004,285,1017,3.7,0.12
2020,1,4,11,30,287,699,71,7.6000000000000005,3.5,297,1017,4,0.12
2020,1,4,12,30,177,58,159,8.3,3.8000000000000003,300,1016,3.9000000000000004,0.12
2020,1,4,13,30,95,1,95,8.1,3.5,298,1016,3.9000000000000004,0.12
2020,1,4,14,30,8,0,8,7.1000000000000005,2.6,295,1016,4.4,0.12
2020,1,4,15,30,8,0,8,5.800000000000001,1.9000000000000001,293,1016,4.7,0.12
2020,1,4,16,30,0,0,0,5.2,2,296,1017,4.6000000000000005,0.12
2020,1,4,17,30,0,0,0,5.1000000000000005,2,299,1017,4.800000000000001,0.12
2020,1,4,18,30,0,0,0,4.800000000000001,1.8,302,1017,4.800000000000001,0.12
2020,1,4,19,30,0,0,0,4.4,1.7000000000000002,302,1017,4.4,0.12
2020,1,4,20,30,0,0,0,4.1000000000000005,1.5,299,1017,4.1000000000000005,0.12
2020,1,4,21,30,0,0,0,3.8000000000000003,1.5,297,1017,3.8000000000000003,0.12
2020,1,4,22,30,0,0,0,3.7,1.5,302,1017,3.7,0.12
2020,1,4,23,30,0,0,0,3.7,1.6,311,1017,3.7,0.12
2020,1,5,0,30,0,0,0,3.7,1.6,320,1017,3.7,0.12
2020,1,5,1,30,0,0,0,3.7,1.5,325,1018,3.7,0.12
2020,1,5,2,30,0,0,0,3.6,1.4000000000000001,323,1018,3.6,0.12
2020,1,5,3,30,0,0,0,3.5,1.2000000000000002,316,1018,3.5,0.12
2020,1,5,4,30,0,0,0,3.3000000000000003,1,306,1018,3.3000000000000003,0.12
2020,1,5,5,30,0,0,0,3.1,0.9,296,1018,3.1,0.12
2020,1,5,6,30,0,0,0,2.9000000000000004,0.8,286,1018,2.9000000000000004,0.12
2020,1,5,7,30,0,0,0,2.8000000000000003,0.7000000000000001,274,1018,2.8000000000000003,0.12
2020,1,5,8,30,9,0,9,2.9000000000000004,0.8,258,1018,2.8000000000000003,0.12
2020,1,5,9,30,5,0,5,3.4000000000000004,0.9,244,1018,3,0.12
2020,1,5,10,30,11,0,11,4.3,0.7000000000000001,237,1018,3.4000000000000004,0.12
2020,1,5,11,30,49,0,49,5.7,0.5,184,1017,3.7,0.12
2020,1,5,12,30,56,0,56,6.800000000000001,0.4,33,1016,3.9000000000000004,0.12
2020,1,5,13,30,11,0,11,7.300000000000001,0.6000000000000001,45,1016,3.8000000000000003,0.12
2020,1,5,14,30,6,0,6,7,0.6000000000000001,60,1016,4.1000000000000005,0.12
2020,1,5,15,30,8,0,8,5.800000000000001,0.6000000000000001,80,1016,3.8000000000000003,0.12
2020,1,5,16,30,0,0,0,4.6000000000000005,0.9,95,1015,2.7,0.12
2020,1,5,17,30,0,0,0,3.4000000000000004,1.1,108,1015,2.2,0.12
2020,1,5,18,30,0,0,0,2.2,1.2000000000000002,121,1015,1.7000000000000002,0.12
2020,1,5,19,30,0,0,0,1,1.3,131,1015,1,0.12
2020,1,5,20,30,0,0,0,0.1,1.4000000000000001,140,1014,0.1,0.12
2020,1,5,21,30,0,0,0,-0.6000000000000001,1.4000000000000001,146,1014,-0.6000000000000001,0.12
2020,1,5,22,30,0,0,0,-1.2000000000000002,1.4000000000000001,150,1013,-1.2000000000000002,0.12
2020,1,5,23,30,0,0,0,-1.7000000000000002,1.3,151,1013,-1.7000000000000002,0.12
2020,1,6,0,30,0,0,0,-1.9000000000000001,1.3,150,1013,-1.9000000000000001,0.12
2020,1,6,1,30,0,0,0,-1.5,1.4000000000000001,147,1012,-1.5,0.12
2020,1,6,2,30,0,0,0,-0.7000000000000001,1.8,144,1012,-0.7000000000000001,0.12
2020,1,6,3,30,0,0,0,-0.30000000000000004,2.5,139,1011,-0.30000000000000004,0.12
2020,1,6,4,30,0,0,0,-0.30000000000000004,2.5,134,1010,-0.30000000000000004,0.12
2020,1,6,5,30,0,0,0,-0.5,2.6,133,1010,-0.5,0.12
2020,1,6,6,30,0,0,0,-0.9,2.7,140,1009,-0.9,0.12
2020,1,6,7,30,0,0,0,-1.1,2.9000000000000004,150,1009,-1.3,0.12
2020,1,6,8,30,9,0,9,-0.7000000000000001,3.4000000000000004,162,1008,-1.5,0.12
2020,1,6,9,30,39,0,39,0.5,3.8000000000000003,175,1008,-1.4000000000000001,0.12
2020,1,6,10,30,248,758,49,2.2,4.1000000000000005,184,1007,-1.1,0.12
2020,1,6,11,30,305,808,53,3.9000000000000004,4.3,191,1006,-0.6000000000000001,0.12
2020,1,6,12,30,315,811,55,5.300000000000001,4.5,202,1005,0.2,0.12
2020,1,6,13,30,277,779,52,6,4.5,214,1005,0.9,0.12
2020,1,6,14,30,196,698,45,5.2,4,222,1005,1.6,0.12
2020,1,6,15,30,86,503,30,3,3.3000000000000003,225,1005,1.6,0.12
2020,1,6,16,30,0,0,0,1.4000000000000001,3.4000000000000004,223,1005,1.1,0.12
2020,1,6,17,30,0,0,0,1.4000000000000001,3.9000000000000004,220,1006,1.1,0.12
2020,1,6,18,30,0,0,0,1.8,4.2,218,1006,1.3,0.12
2020,1,6,19,30,0,0,0,2.7,4.3,221,1006,1.9000000000000001,0.12
2020,1,6,20,30,0,0,0,3.5,4.2,228,1006,2.8000000000000003,0.12
2020,1,6,21,30,0,0,0,4.1000000000000005,4.1000000000000005,237,1006,3.7,0.12
2020,1,6,22,30,0,0,0,4.6000000000000005,4.1000000000000005,248,1007,4.4,0.12
2020,1,6,23,30,0,0,0,4.800000000000001,3.7,256,1007,4.800000000000001,0.12
2020,1,7,0,30,0,0,0,5,3,260,1008,5,0.12
2020,1,7,1,30,0,0,0,5,2.3000000000000003,261,1008,5,0.12
2020,1,7,2,30,0,0,0,5.1000000000000005,1.9000000000000001,263,1009,5.1000000000000005,0.12
2020,1,7,3,30,0,0,0,4.800000000000001,1.5,261,1009,4.800000000000001,0.12
2020,1,7,4,30,0,0,0,4.5,1.3,252,1009,4.5,0.12
2020,1,7,5,30,0,0,0,4.4,1.4000000000000001,239,1009,4.4,0.12
2020,1,7,6,30,0,0,0,4.5,1.7000000000000002,224,1010,4.5,0.12
2020,1,7,7,30,0,0,0,4.5,2.1,215,1010,4.5,0.12
2020,1,7,8,30,10,0,10,4.9,2.7,209,1010,4.9,0.12
2020,1,7,9,30,5,0,5,5.4,3,207,1010,5.2,0.12
2020,1,7,10,30,11,0,11,6,3,208,1010,5.6000000000000005,0.12
2020,1,7,11,30,16,0,16,6.9,3,213,1009,6.300000000000001,0.12
2020,1,7,12,30,19,0,19,7.7,2.8000000000000003,216,1009,7.1000000000000005,0.12
2020,1,7,13,30,23,0,23,8.3,2.5,209,1008,7.800000000000001,0.12
2020,1,7,14,30,7,0,7,8.3,2.2,200,1008,8.1,0.12
2020,1,7,15,30,6,0,6,7.800000000000001,2.2,196,1008,7.800000000000001,0.12
2020,1,7,16,30,0,0,0,7.6000000000000005,2.6,197,1008,7.6000000000000005,0.12
2020,1,7,17,30,0,0,0,7.800000000000001,3,200,1008,7.800000000000001,0.12
2020,1,7,18,30,0,0,0,8.1,3.2,206,1008,8.1,0.12
2020,1,7,19,30,0,0,0,8.4,3.4000000000000004,213,1008,8.4,0.12
2020,1,7,20,30,0,0,0,8.6,3.5,219,1008,8.6,0.12
2020,1,7,21,30,0,0,0,8.6,3.2,223,1008,8.6,0.12
2020,1,7,22,30,0,0,0,8.5,3.1,222,1008,8.5,0.12
2020,1,7,23,30,0,0,0,8.6,3.4000000000000004,223,1007,8.6,0.12
2020,1,8,0,30,0,0,0,8.8,3.6,227,1007,8.8,0.12
2020,1,8,1,30,0,0,0,8.9,3.7,230,1007,8.9,0.12
2020,1,8,2,30,0,0,0,8.9,3.7,235,1007,8.9,0.12
2020,1,8,3,30,0,0,0,8.9,3.7,237,1007,8.9,0.12
2020,1,8,4,30,0,0,0,8.9,3.6,236,1007,8.9,0.12
2020,1,8,5,30,0,0,0,8.8,3.5,234,1007,8.8,0.12
2020,1,8,6,30,0,0,0,8.700000000000001,3.3000000000000003,229,1007,8.700000000000001,0.12
2020,1,8,7,30,0,0,0,8.700000000000001,3.3000000000000003,226,1007,8.700000000000001,0.12
2020,1,8,8,30,3,0,3,9.1,3.5,222,1008,8.8,0.12
2020,1,8,9,30,3,0,3,9.700000000000001,3.6,219,1008,9.200000000000001,0.12
2020,1,8,10,30,5,0,5,10.3,3.7,219,1008,9.600000000000001,0.12
2020,1,8,11,30,4,0,4,10.700000000000001,3.5,216,1007,9.9,0.12
2020,1,8,12,30,5,0,5,10.9,3.5,216,1007,10.200000000000001,0.12
2020,1,8,13,30,16,0,16,11,3.4000000000000004,214,1007,10.3,0.12
2020,1,8,14,30,9,0,9,10.700000000000001,3.1,213,1007,10.3,0.12
2020,1,8,15,30,13,0,13,10.100000000000001,3,211,1007,10.100000000000001,0.12
2020,1,8,16,30,0,0,0,9.600000000000001,3,209,1007,9.600000000000001,0.12
2020,1,8,17,30,0,0,0,9.4,3.2,207,1007,9.4,0.12
2020,1,8,18,30,0,0,0,9.3,3.4000000000000004,207,1006,9.200000000000001,0.12
2020,1,8,19,30,0,0,0,9.200000000000001,3.6,205,1006,9.1,0.12
2020,1,8,20,30,0,0,0,9,3.7,204,1006,8.9,0.12
2020,1,8,21,30,0,0,0,8.9,3.8000000000000003,203,1005,8.8,0.12
2020,1,8,22,30,0,0,0,8.8,3.9000000000000004,202,1005,8.700000000000001,0.12
2020,1,8,23,30,0,0,0,8.700000000000001,4,201,1004,8.6,0.12
2020,1,9,0,30,0,0,0,8.700000000000001,4.2,201,1003,8.5,0.12
2020,1,9,1,30,0,0,0,8.8,4.5,202,1002,8.5,0.12
2020,1,9,2,30,0,0,0,8.8,4.800000000000001,204,1002,8.5,0.12
2020,1,9,3,30,0,0,0,8.9,5,206,1001,8.6,0.12
2020,1,9,4,30,0,0,0,9,5.1000000000000005,206,1000,8.700000000000001,0.12
2020,1,9,5,30,0,0,0,9,5.2,203,1000,8.700000000000001,0.12
2020,1,9,6,30,0,0,0,8.9,5.4,201,999,8.6,0.12
2020,1,9,7,30,0,0,0,8.9,5.5,200,998,8.6,0.12
2020,1,9,8,30,4,0,4,9.1,5.6000000000000005,201,998,8.6,0.12
2020,1,9,9,30,3,0,3,9.600000000000001,5.9,202,997,8.8,0.12
2020,1,9,10,30,8,0,8,10.5,6.2,204,997,9,0.12
2020,1,9,11,30,5,0,5,11.3,6.4,205,996,9,0.12
2020,1,9,12,30,48,1,47,11.700000000000001,6.300000000000001,205,995,8.8,0.12
2020,1,9,13,30,9,0,9,11.4,5.9,201,994,8.700000000000001,0.12
2020,1,9,14,30,7,0,7,10.700000000000001,5.5,194,993,8.700000000000001,0.12
2020,1,9,15,30,8,0,8,9.9,5.5,192,993,8.700000000000001,0.12
2020,1,9,16,30,0,0,0,9.4,5.800000000000001,196,992,8.6,0.12
2020,1,9,17,30,0,0,0,9.200000000000001,6.1000000000000005,203,992,8.5,0.12
2020,1,9,18,30,0,0,0,9.1,6.300000000000001,206,992,8.5,0.12
2020,1,9,19,30,0,0,0,9,6.1000000000000005,209,992,8.5,0.12
2020,1,9,20,30,0,0,0,9,5.800000000000001,213,992,8.6,0.12
2020,1,9,21,30,0,0,0,8.5,5.5,214,992,8.200000000000001,0.12
2020,1,9,22,30,0,0,0,7.800000000000001,5.2,206,992,7.6000000000000005,0.12
2020,1,9,23,30,0,0,0,7.4,5.2,201,992,7,0.12
2020,1,10,0,30,0,0,0,7.7,5.5,205,992,6.9,0.12
2020,1,10,1,30,0,0,0,7.9,5.2,212,992,7,0.12
2020,1,10,2,30,0,0,0,7.9,4.6000000000000005,224,992,7.300000000000001,0.12
2020,1,10,3,30,0,0,0,7.7,4.3,245,993,7.4,0.12
2020,1,10,4,30,0,0,0,7.2,4.3,266,994,7.2,0.12
2020,1,10,5,30,0,0,0,6.6000000000000005,4.5,283,996,6.6000000000000005,0.12
2020,1,10,6,30,0,0,0,6,4.7,296,998,6,0.12
2020,1,10,7,30,0,0,0,5.7,4.800000000000001,305,1000,5.4,0.12
2020,1,10,8,30,8,0,8,5.9,4.800000000000001,312,1002,4.9,0.12
2020,1,10,9,30,13,0,13,6.5,4.9,319,1003,4.800000000000001,0.12
2020,1,10,10,30,9,0,9,7,4.9,326,1004,4.5,0.12
2020,1,10,11,30,72,0,72,7.6000000000000005,4.7,329,1005,4.3,0.12
2020,1,10,12,30,309,717,73,7.9,4.4,328,1006,4,0.12
2020,1,10,13,30,118,3,117,7.9,3.9000000000000004,327,1007,3.8000000000000003,0.12
2020,1,10,14,30,7,0,7,7.1000000000000005,2.9000000000000004,326,1008,3.9000000000000004,0.12
2020,1,10,15,30,7,0,7,5.1000000000000005,1.6,327,1009,4.2,0.12
2020,1,10,16,30,0,0,0,3.1,1.2000000000000002,328,1010,3.1,0.12
2020,1,10,17,30,0,0,0,2.3000000000000003,1.2000000000000002,324,1011,2.3000000000000003,0.12
2020,1,10,18,30,0,0,0,1.8,1.2000000000000002,318,1012,1.8,0.12
2020,1,10,19,30,0,0,0,1.3,1.2000000000000002,315,1013,1.3,0.12
2020,1,10,20,30,0,0,0,1.1,1.1,312,1013,1.1,0.12
2020,1,10,21,30,0,0,0,1.3,1,304,1013,1.3,0.12
2020,1,10,22,30,0,0,0,1.4000000000000001,0.9,286,1014,1.4000000000000001,0.12
2020,1,10,23,30,0,0,0,1.1,0.9,263,1014,1.1,0.12
2020,1,11,0,30,0,0,0,0.6000000000000001,0.9,249,1014,0.6000000000000001,0.12
2020,1,11,1,30,0,0,0,0.1,1,239,1014,0.1,0.12
2020,1,11,2,30,0,0,0,0.30000000000000004,1.1,229,1014,0.30000000000000004,0.12
2020,1,11,3,30,0,0,0,1.1,1.4000000000000001,220,1014,1.1,0.12
2020,1,11,4,30,0,0,0,1.4000000000000001,2,211,1014,1.4000000000000001,0.12
2020,1,11,5,30,0,0,0,1.5,2.1,204,1014,1.5,0.12
2020,1,11,6,30,0,0,0,1.3,2.1,201,1014,1.3,0.12
2020,1,11,7,30,0,0,0,1.5,2.5,200,1014,1.5,0.12
2020,1,11,8,30,4,0,4,2.4000000000000004,3,200,1014,1.9000000000000001,0.12
2020,1,11,9,30,44,1,43,3.6,3.2,200,1014,2.4000000000000004,0.12
2020,1,11,10,30,136,31,127,4.9,3.3000000000000003,199,1014,2.8000000000000003,0.12
2020,1,11,11,30,194,36,182,6.2,3.8000000000000003,203,1013,2.5,0.12
2020,1,11,12,30,139,21,132,6.800000000000001,4,208,1012,1.8,0.12
2020,1,11,13,30,135,31,125,6.7,3.6,208,1012,1.7000000000000002,0.12
2020,1,11,14,30,92,11,90,5.800000000000001,2.8000000000000003,204,1012,2.1,0.12
2020,1,11,15,30,13,0,13,4.2,2,198,1011,2.5,0.12
2020,1,11,16,30,0,0,0,3,2.1,196,1011,2,0.12
2020,1,11,17,30,0,0,0,2.6,2.4000000000000004,197,1011,1.8,0.12
2020,1,11,18,30,0,0,0,2.1,2.5,199,1011,1.8,0.12
2020,1,11,19,30,0,0,0,1.7000000000000002,2.6,201,1011,1.7000000000000002,0.12
2020,1,11,20,30,0,0,0,1.3,2.6,202,1011,1.3,0.12
2020,1,11,21,30,0,0,0,1,2.7,203,1010,1,0.12
2020,1,11,22,30,0,0,0,0.8,2.9000000000000004,205,1009,0.8,0.12
2020,1,11,23,30,0,0,0,0.7000000000000001,3.2,207,1009,0.7000000000000001,0.12
2020,1,12,0,30,0,0,0,0.8,3.5,209,1008,0.8,0.12
2020,1,12,1,30,0,0,0,0.9,3.8000000000000003,209,1008,0.9,0.12
2020,1,12,2,30,0,0,0,1.1,4,207,1007,0.9,0.12
2020,1,12,3,30,0,0,0,1.3,4.1000000000000005,204,1007,1,0.12
2020,1,12,4,30,0,0,0,1.4000000000000001,4.1000000000000005,202,1007,1.2000000000000002,0.12
2020,1,12,5,30,0,0,0,1.6,4.3,201,1007,1.3,0.12
2020,1,12,6,30,0,0,0,1.8,4.5,202,1007,1.4000000000000001,0.12
2020,1,12,7,30,0,0,0,2.3000000000000003,4.9,205,1007,1.7000000000000002,0.12
2020,1,12,8,30,10,0,10,3.2,5.2,208,1007,2.1,0.12
2020,1,12,9,30,3,0,3,4.800000000000001,5.4,212,1007,2.9000000000000004,0.12
2020,1,12,10,30,245,675,60,6.4,5.9,218,1007,3.8000000000000003,0.12
2020,1,12,11,30,47,0,47,7.300000000000001,5.9,224,1006,4.7,0.12
2020,1,12,12,30,12,0,12,7.5,5.4,225,1006,5.4,0.12
2020,1,12,13,30,10,0,10,7.300000000000001,4.9,226,1005,5.800000000000001,0.12
2020,1,12,14,30,15,0,15,7.1000000000000005,4.4,226,1005,6.1000000000000005,0.12
2020,1,12,15,30,91,348,46,6.800000000000001,3.9000000000000004,228,1005,6.300000000000001,0.12
2020,1,12,16,30,0,0,0,6.5,3.4000000000000004,232,1006,6.5,0.12
2020,1,12,17,30,0,0,0,6.300000000000001,2.9000000000000004,233,1006,6.300000000000001,0.12
2020,1,12,18,30,0,0,0,6,2.5,233,1006,6,0.12
2020,1,12,19,30,0,0,0,5.5,2.3000000000000003,233,1006,5.5,0.12
2020,1,12,20,30,0,0,0,5.1000000000000005,2.2,232,1006,5.1000000000000005,0.12
