Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,355378,-,-,-,51.49,-0.14,0,11,0,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed,Wind Direction,Pressure,Surface Albedo,Dew Point
2016,1,1,0,30,0,0,0,3.6,2.6,254,1018,0.1,3.3000000000000003
2016,1,1,1,30,0,0,0,3.1,2.1,263,1019,0.1,3.1
2016,1,1,2,30,0,0,0,3,1.6,275,1019,0.1,3
2016,1,1,3,30,0,0,0,3.3000000000000003,1.1,295,1020,0.1,3
2016,1,1,4,30,0,0,0,3.6,0.5,259,1020,0.1,3
2016,1,1,5,30,0,0,0,3.7,1,99,1020,0.1,3
2016,1,1,6,30,0,0,0,3.8000000000000003,1.7000000000000002,111,1020,0.1,3.1
2016,1,1,7,30,0,0,0,4,2.2,113,1020,0.1,3.3000000000000003
2016,1,1,8,30,0,0,0,4.3,2.9000000000000004,115,1020,0.1,3.4000000000000004
2016,1,1,9,30,12,0,12,5,3.5,119,1019,0.1,3.7
2016,1,1,10,30,5,0,5,5.800000000000001,3.8000000000000003,122,1018,0.1,4
2016,1,1,11,30,47,1,47,6.7,4,125,1017,0.1,4.5
2016,1,1,12,30,25,0,25,7.2,4.3,126,1016,0.1,4.9
2016,1,1,13,30,14,0,14,7.1000000000000005,4.6000000000000005,126,1014,0.1,5
2016,1,1,14,30,3,0,3,6.9,4.9,126,1013,0.1,5.300000000000001
2016,1,1,15,30,7,0,7,6.9,5.1000000000000005,127,1012,0.1,5.800000000000001
2016,1,1,16,30,0,0,0,7.1000000000000005,5.2,130,1011,0.1,6.300000000000001
2016,1,1,17,30,0,0,0,7.4,5.300000000000001,130,1010,0.1,6.7
2016,1,1,18,30,0,0,0,7.5,5.800000000000001,131,1009,0.1,6.800000000000001
2016,1,1,19,30,0,0,0,7.4,6.4,132,1008,0.1,6.6000000000000005
2016,1,1,20,30,0,0,0,7.2,6.800000000000001,132,1006,0.1,6.300000000000001
2016,1,1,21,30,0,0,0,7,6.9,134,1005,0.1,6
